Unnamed: 0,title,body,date,language,predicted_score
2498,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2499,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2500,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2501,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2502,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2503,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2504,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2505,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2506,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2507,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2508,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2509,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2510,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2511,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2512,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2513,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2514,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2515,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2516,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2517,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2518,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2519,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2520,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2521,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2522,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2523,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2524,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2525,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2526,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2527,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2528,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2529,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2530,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2531,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2532,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2533,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2534,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2535,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2536,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2537,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2538,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2539,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2540,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2541,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2542,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2543,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2544,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2545,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2546,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2547,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2548,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2549,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2550,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2551,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2552,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2553,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2554,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2555,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2556,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2557,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2558,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2559,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2560,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2561,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2562,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2563,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2564,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2565,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2566,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2567,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2568,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2569,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2570,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2571,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2572,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2573,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2574,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2575,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2576,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2577,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2578,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2579,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2580,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2581,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2582,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2583,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2584,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2585,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2586,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2587,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2588,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2589,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2590,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2591,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2592,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2593,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2594,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2595,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2596,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2597,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2598,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2599,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2600,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2601,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2602,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2603,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2604,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2605,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2606,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2607,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2608,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2609,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2610,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2611,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2612,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2613,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2614,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2615,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2616,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2617,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2618,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2619,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2620,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2621,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2622,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2623,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2624,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2625,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2626,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2627,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2628,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2629,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2630,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2631,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2632,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2633,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2634,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2635,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2636,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2637,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2638,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2639,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2640,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2641,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2642,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2643,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2644,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2645,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2646,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2647,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2648,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2649,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2650,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2651,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2652,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2653,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2654,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2655,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2656,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2657,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2658,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2659,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2660,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2661,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2662,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2663,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2664,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2665,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2666,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2667,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
2668,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
2669,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
2670,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
2671,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
2672,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
2673,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
2674,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
2675,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
2676,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
2677,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
2678,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
2679,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
2680,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
2681,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
2682,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
2683,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
2684,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
2685,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
2686,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
2687,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
